First,Last,Email,Class,DOB
Fuller,Harrell,faucibus.ut@pharetra.ca,Freshman,3/26/1936
Kylan,Sparks,egestas.ligula.Nullam@mus.edu,Sophomore,7/2/1982
Kylynn,Grant,venenatis.vel@ametconsectetueradipiscing.org,Freshman,2/16/1960
Ethan,Yang,nonummy@enim.co.uk,Senior,12/28/2007
Liberty,Zimmerman,feugiat@gravidasitamet.ca,Freshman,4/5/2013
Stone,Whitfield,cursus@nonummy.edu,Freshman,10/31/2003
Kiara,Evans,nec.ligula.consectetuer@odio.com,Junior,5/28/1962
Alfreda,Mcgee,at.lacus.Quisque@cursusnon.org,Senior,8/21/2016
Brady,Estes,non.bibendum.sed@aultriciesadipiscing.net,Senior,8/12/1964
Ryan,Newton,pellentesque.massa@ridiculusmus.co.uk,Senior,6/27/1946
Molly,Ferrell,porttitor.scelerisque@Sed.edu,Senior,9/12/1993
Brynne,Sanford,lacus@Integersemelit.ca,Junior,7/6/1976
Sade,Callahan,Duis@ipsumsodalespurus.co.uk,Senior,5/21/2013
Dexter,Bean,Nulla.interdum.Curabitur@acnulla.edu,Freshman,9/10/1972
Signe,Townsend,Duis@elementumdui.com,Senior,7/9/2014
Cadman,Russo,ante.iaculis.nec@sapienCras.com,Senior,6/29/2011
Harding,Bridges,nec.tempus.scelerisque@mifringilla.co.uk,Junior,10/26/1935
Lee,Newman,sem.egestas@erat.com,Freshman,11/14/1993
Brent,Pruitt,ullamcorper.eu@etmagnisdis.edu,Sophomore,2/19/2010
Amery,Horne,tellus.imperdiet@Vestibulumaccumsanneque.ca,Junior,5/25/2013
Axel,Hanson,neque@vel.ca,Senior,12/3/2005
Eliana,Hill,luctus.ut@Sed.com,Junior,3/19/1964
Alan,Meadows,molestie.Sed.id@liberoDonec.net,Junior,4/11/2005
Alexis,Pace,eu@nec.edu,Sophomore,12/18/1999
Heidi,Pitts,luctus@vulputatenisi.org,Senior,1/30/1932
Barry,Swanson,dolor.tempus.non@ornare.edu,Senior,12/20/1968
Echo,Burns,semper@dictumeleifendnunc.edu,Sophomore,3/7/1991
Rina,Kidd,auctor.odio@Vestibulum.ca,Senior,1/11/1943
Elliott,Dickson,luctus.ipsum.leo@ultrices.edu,Junior,8/28/1982
Adara,Mcknight,malesuada.Integer@leoCras.co.uk,Sophomore,6/16/1998
Raya,Houston,diam@idenim.com,Senior,9/10/1939
Ferdinand,Waller,tortor.at@Morbi.org,Sophomore,12/26/1934
Lesley,Short,mauris@Maecenasmifelis.net,Freshman,4/13/1989
Jaquelyn,Lynn,sit@quama.net,Senior,10/29/2016
Nero,Aguilar,orci.Ut@orciluctus.org,Freshman,7/29/1964
Myles,Peck,leo.Cras.vehicula@ultricessit.org,Freshman,6/26/2008
Maile,Thornton,in@penatibuset.edu,Junior,3/14/2014
Holmes,Noel,enim@Fusce.ca,Freshman,3/8/1931
Orson,Hunt,magna.a.tortor@nec.ca,Sophomore,3/15/1930
Dara,Peck,luctus.ut@lectusrutrum.org,Freshman,5/15/1941
Karyn,Rodgers,ante.ipsum.primis@duiFusce.ca,Senior,2/11/1986
Russell,Delacruz,felis.purus@amet.org,Senior,6/9/1966
Brett,Frazier,erat.neque@dolordolortempus.com,Sophomore,8/17/2001
Pandora,Trujillo,Nam@quis.edu,Freshman,3/10/1974
Magee,Roman,erat.semper.rutrum@Crasdictumultricies.net,Freshman,12/21/1956
Gloria,Franklin,id.libero.Donec@Fuscefeugiat.ca,Junior,9/28/1975
Mollie,Barry,Nunc.ut@tellus.net,Senior,12/11/1931
Bernard,Saunders,eu.enim@urnajusto.org,Junior,11/30/1968
Bruno,Walton,volutpat.nunc.sit@ligulaeuenim.co.uk,Junior,1/15/1932
Martena,Moore,ornare.placerat@Nullamvitae.com,Sophomore,1/4/1952
Lacy,Becker,euismod@massa.co.uk,Senior,8/17/1943
Adam,Rocha,massa.Suspendisse.eleifend@apurus.edu,Freshman,2/27/1973
Lilah,Curtis,vitae.orci.Phasellus@Nuncacsem.com,Senior,9/2/1956
Germaine,Christensen,sagittis.Nullam@afeugiat.co.uk,Freshman,2/16/1936
Amy,Sanchez,semper.rutrum@feugiat.co.uk,Junior,6/11/2008
Kirk,Browning,pede.nonummy@ultricesDuisvolutpat.com,Sophomore,10/11/1980
Damon,Edwards,facilisis@Ut.ca,Senior,11/27/1986
Camilla,Reed,velit@Suspendissetristique.com,Sophomore,10/17/1979
Dustin,Terry,Etiam@aliquam.net,Sophomore,5/26/1998
Bert,Zamora,Nullam.suscipit.est@metusInnec.edu,Freshman,5/17/1948
Elijah,Adams,egestas.rhoncus.Proin@ridiculusmus.org,Sophomore,11/30/1935
Orli,Olson,sociis.natoque@gravida.ca,Freshman,9/10/1939
Malcolm,Compton,tellus.justo@euodiotristique.net,Senior,2/24/1940
Chiquita,Oliver,ullamcorper.magna@Donec.org,Junior,9/16/1966
Kimberly,Carr,non@nuncsitamet.net,Sophomore,10/20/2011
Hiroko,Hoffman,neque.tellus.imperdiet@vitaealiquameros.net,Senior,8/13/2011
Madaline,Cherry,sapien.molestie@rutrum.net,Sophomore,7/28/2003
Thomas,Morrison,purus.mauris.a@miDuis.net,Junior,1/16/2028
Wyatt,Duke,dapibus.ligula@quamCurabiturvel.ca,Sophomore,11/13/1966
Kirk,Carrillo,non.enim@gravida.co.uk,Junior,10/6/1976
Serena,Fuentes,et@utaliquamiaculis.co.uk,Senior,1/9/2026
Jessamine,Burks,magnis.dis@liberoDonecconsectetuer.co.uk,Sophomore,8/29/1952
Guy,Whitaker,dignissim@Nullatemporaugue.co.uk,Junior,10/19/1968
Victoria,Ayala,enim.sit.amet@amifringilla.org,Senior,3/27/2012
Iona,Moses,enim.Sed@bibendumfermentum.com,Junior,4/5/1939
Mufutau,Rhodes,malesuada.id.erat@lacus.com,Junior,6/19/1950
Kermit,Sullivan,sit.amet@nisi.co.uk,Junior,4/26/2004
Kareem,Blanchard,mauris.rhoncus@morbitristiquesenectus.ca,Freshman,9/6/2004
Pamela,Peck,ligula@In.org,Freshman,7/22/1964
Brennan,Melendez,ut@sedsapien.ca,Senior,2/13/1974
